Pali Canon,Cânone Pālī
bhava paccayā jāti,Bhava Paccayā Jāti
bhavana,Bhāvanā
Bhavana,Bhāvanā
bhāvanā,Bhāvanā
Bhāvanā,Bhāvanā
bhavanga,Bhavaṅga
Bhavanga,Bhavaṅga
bhavaṅga,Bhavaṅga
bhavo,bhavo
bhikkhave,bhikkhave
bhikkhu,Bhikkhu
Bhikkhu,Bhikkhu
bhikkhū,Bhikkhū
bhikkhus,Bhikkhū
Bhikkhus,Bhikkhū
bhūmi,Bhūmi
good gati,boas Gati
bojjhaṅga,Bojjhaṅga
Bojjhaṅga,Bojjhaṅga
Brahma,Brahmā
brahmā,Brahmā
Brahmā,Brahmā
brahmās,Brahmā
brahmavihāra,Brahmavihāra
Buddha,Buddha
Buddha Dhamma,Buddha Dhamma
Buddhism,Buddhismo
Buddhist,Buddhista
Buddho,Buddho
Caga,Cāga
cāga,Cāga
cakkhu,Cakkhu
Cakkhu,Cakkhu
cakkhu indriya,Cakkhu Indriya
cakkhu viññāṇa,Cakkhu Viññāṇa
cakkhuṃ,cakkhuṃ
cakkhunā,cakkhunā
cakkhusmiṃ,cakkhusmiṃ
cattāri ariyasaccāni,Cattāri Ariyasaccāni
catunnaṃ,catunnaṃ
catuttha jhāna,Catuttha Jhāna
Cessation,Cessation
cetanā,Cetanā
Cetanā,Cetanā
cetanāya,cetanāya
cetasika,Cetasika
Cetasika,Cetasika
cetasikā,Cetasikā
cetovimutti,Cetovimutti
chanda,Chanda
Chanda,Chanda
five hindrances,Cinco Estorvos
Five Hindrances,Cinco Estorvos
sinhala,cingalês
Sinhala,Cingalês
sinhalese,cingalês
Sinhalese,Cingalês
citta,Citta
Citta,Citta
citta saṅgaha,Citta Saṅgaha
citta vīthi,Citta Vīthi
cittaja rūpa,Cittaja Rūpa
cittaṃ,cittaṃ
cittānupassanā,Cittānupassanā
cittasaṅkhāra,Cittasaṅkhāra
cittassa,cittassa
cittena,cittena
cuti,Cuti
Cuti,Cuti
Cuti-Patisandhi,Cuti-Paṭisandhi
cutūpapāta ñāṇa,Cutūpapāta Ñāṇa
dāna,Dāna
Dāna,Dāna
Dasa Akusala,Dasa Akusala
dassana,Dassana
Dassana,Dassana
dassanā,dassanā
by and large,de modo geral
deva,Deva
Deva,Deva
devā,Devā
devas,Devā
Devas,Devā
dhamma,Dhamma
dhammā,Dhammā
dhammas,Dhammā
dhammaṃ,dhammaṃ
dhammānupassanā,Dhammānupassanā
dhammānusārī,Dhammānusārī
dhammassa,dhammassa
Dhammavicaya,Dhammavicaya
dhammesu,dhammesu
dharma,Dharma
Dharma,Dharma
dhatu,Dhātu
Dhatu,Dhātu
dhātu,Dhātu
Dhātu,Dhātu
dhātuyo,dhātuyo
ditthi,Diṭṭhi
diṭṭhidhammika,Diṭṭhidhammika
diṭṭhiyo,diṭṭhiyo
domanassaṃ,domanassaṃ
dosa,Dosa
Dosa,Dosa
duggati,Duggati
Duggati,Duggati
dukkha,Dukkha
Dukkha,Dukkha
dukkhā,dukkhā
dukkha vedanā,Dukkha Vedanā
dukkhaṃ,dukkhaṃ
dukkhanirodha gāminī paṭipadā,Dukkhanirodha Gāminī Paṭipadā
dukkhānupassanā,Dukkhānupassanā
dvāra,Dvāra
it goes without saying,é evidente que
Ehipassiko,Ehipassiko
ekaggatā,Ekaggatā
Ekaggatā,Ekaggatā
in a nutshell,em resumo
at the end of the day,em última instância
post,ensaio
posts,ensaios
that gati,essa Gati
that paramita,essa Pāramitā
this gati,esta Gati
this panna,esta Paññā
this paramita,esta Pāramitā
this saddha,esta Saddhā
etaṃ,etaṃ
evaṃ,evaṃ
gandhabba,Gandhabba
